#Name,a,year
"       (1999 OZ3)",44.01133215840725	,1999 
"       (1999 OA4)",44.22217906493085	,1999 
"       (1999 OC4)",45.26997640167564	,1999 
"       (1999 OD4)",41.27809244261918	,1999 
"       (1999 OG4)",46.79848931008327	,1999 
"       (1999 OH4)",40.32648514201053	,1999 
"       (1999 OJ4)",37.89506418441407	,1999 
"       (1999 OK4)",43.11482889394136	,1999 
"       (1999 OM4)",45.79807262053772	,1999 
"       (1999 ON4)",42.47280076808746	,1999 
"       (1999 RS214)",42.96521759235027	,1999 
"       (1999 RT214)",42.36901001253677	,1999 
"       (1999 RU214)",55.42507179871021	,1999 
"       (1999 RV214)",45.03199910000001	,1999 
"       (1999 RW214)",42.83459610548223	,1999 
"       (1999 RX214)",46.02218153647188	,1999 
"       (1999 RY214)",45.14123281330729	,1999 
"       (1999 RZ214)",84.34298134513398	,1999 
"       (1999 RB215)",47.56783494601195	,1999 
"       (1999 RC215)",44.0353548612349	,1999 
"       (1999 RF215)",43.9602065268759	,1999 
"       (1999 RG215)",46.28887342806748	,1999 
"       (1999 RJ215)",59.10816650880702	,1999 
"       (1999 RK215)",39.35059502949283	,1999 
"       (1999 RR215)",44.08013847117171	,1999 
"       (1999 RT215)",43.09028438636359	,1999 
"       (1999 RU215)",43.03939061302142	,1999 
"       (1999 RV215)",44.65525972354291	,1999 
"       (1999 RW215)",36.40873899913261	,1999 
"       (1999 RX215)",46.7499821671065	,1999 
"       (1999 RC216)",44.4045443393066	,1999 
"       (1999 RK257)",43.19172581460379	,1999 
"       (1999 SA28)",39.22769751054978	,1999 
"       (1999 TR11)",39.60573142525411	,1999 
"       (1999 XY143)",43.18704611864348	,1999 
"       (2000 AB229)",52.57287556825246	,2000 
"       (2000 AB255)",43.0851011234576	,2000 
"       (2000 AC255)",46.80732029605485	,2000 
"       (2000 AD255)",42.17473599882008	,2000 
"       (2000 AE255)",44.05481507488832	,2000 
"       (2000 AF255)",48.87984151469932	,2000 
"       (2000 CL104)",44.68573013092156	,2000 
"       (2000 CM104)",42.58848709746199	,2000 
"       (2000 CN104)",42.93108730763258	,2000 
"       (2000 CP104)",44.50846771717499	,2000 
"       (2000 CQ104)",36.84573072308779	,2000 
"       (2000 CE105)",44.15561311692945	,2000 
"       (2000 CF105)",44.14616072674131	,2000 
"       (2000 CG105)",46.5966833365386	,2000 
"       (2000 CJ105)",44.38283264947523	,2000 
"       (2000 CK105)",39.59698024862737	,2000 
"       (2000 CL105)",43.25778326395619	,2000 
"       (2000 CN105)",44.80113146262428	,2000 
"       (2000 CO105)",47.31295149747168	,2000 
"       (2000 CP105)",83.18304521975666	,2000 
"       (2000 CQ105)",57.44225211034389	,2000 
"       (2000 CS105)",44.71834200704724	,2000 
"       (2000 CY105)",45.53622015986056	,2000 
"       (2000 CN114)",44.1919317694819	,2000 
"       (2000 CO114)",46.14474361881727	,2000 
"       (2000 CP114)",39.4783427986991	,2000 
"       (2000 CQ114)",46.35525997076734	,2000 
"       (2000 FA8)",44.08256308041934	,2000 
"       (2000 FB8)",39.42227757067501	,2000 
"       (2000 FC8)",44.07518129763974	,2000 
"       (2000 FF8)",45.26239679313011	,2000 
"       (2000 FG8)",44.06430790706226	,2000 
"       (2000 FH8)",43.6566944121539	,2000 
"       (2000 FR53)",44.5947944915613	,2000 
"       (2000 FS53)",43.13334662379059	,2000 
"       (2000 FT53)",45.17206992192163	,2000 
"       (2000 FU53)",42.39320091317262	,2000 
"       (2000 FV53)",39.24339206151456	,2000 
"       (2000 FW53)",47.201253486022	,2000 
"       (2000 FX53)",43.74412146145325	,2000 
"       (2000 FY53)",39.29918456833346	,2000 
"       (2000 GV146)",44.13071654510858	,2000 
"       (2000 GW146)",41.20826733353623	,2000 
"       (2000 GX146)",44.24030884354197	,2000 
"       (2000 GY146)",44.13430505947381	,2000 
"       (2000 GZ146)",43.87871988953439	,2000 
"       (2000 GF147)",42.08089209999999	,2000 
"       (2000 GK147)",57.34491989570907	,2000 
"       (2000 GL147)",39.33417961692784	,2000 
"       (2000 GM147)",39.58354980641063	,2000 
"       (2000 JF81)",46.11624425598331	,2000 
"       (2000 JH81)",46.23012239052488	,2000 
"       (2000 KK4)",41.22745792508088	,2000 
"       (2000 KL4)",38.54050105500906	,2000 
"       (2000 KP65)",88.80961045687148	,2000 
"       (2000 OB51)",37.68481663363631	,2000 
"       (2000 OH67)",44.00015154081017	,2000 
"       (2000 ON67)",42.85085179946655	,2000 
"       (2000 OP67)",43.5148790832435	,2000 
"       (2000 OU69)",43.00620532831372	,2000 
"       (2000 PU29)",42.30285985898129	,2000 
"       (2000 PW29)",44.01142459587855	,2000 
"       (2000 PX29)",42.4370849813747	,2000 
"       (2000 PY29)",44.07698091192315	,2000 
"       (2000 PZ29)",44.89878014328538	,2000 
"       (2000 PA30)",46.83496212939112	,2000 
"       (2000 PB30)",42.49706440019056	,2000 
"       (2000 PC30)",42.90715245849248	,2000 
"       (2000 PD30)",46.33501799753609	,2000 
"       (2000 PE30)",54.06904882285888	,2000 
"       (2000 PF30)",75.92757128223413	,2000 
"       (2000 PG30)",44.95479001083505	,2000 
"       (2000 PH30)",76.25851352964345	,2000 
"       (2000 PL30)",41.93278001777665	,2000 
"       (2000 PM30)",43.84270687246745	,2000 
"       (2000 PN30)",44.64853357902858	,2000 
"       (2000 PQ30)",41.63822143576571	,2000 
"       (2000 PR30)",42.32524133740903	,2000 
"       (2000 PS30)",64.45572508619414	,2000 
"       (2000 QB226)",45.64140551978468	,2000 
"       (2000 QC226)",43.97460357706678	,2000 
"       (2000 QD226)",41.16859412390521	,2000 
"       (2000 QE226)",43.87968891976506	,2000 
"       (2000 QF226)",46.49637301467126	,2000 
"       (2000 QG226)",39.40528652980979	,2000 
"       (2000 QH226)",39.62163579837382	,2000 
"       (2000 QJ226)",39.39157220295318	,2000 
"       (2000 QK226)",66.99108714436784	,2000 
"       (2000 QL226)",39.27465182878351	,2000 
"       (2000 QA243)",43.26909044614685	,2000 
"       (2000 QL251)",47.62065615823234	,2000 
"       (2000 QN251)",42.1056848281271	,2000 
"       (2000 QJ252)",43.2365251944986	,2000 
"       (2000 QK252)",45.14644701977586	,2000 
"       (2000 QL252)",39.65880995959981	,2000 
"       (2000 QN252)",36.5071098355462	,2000 
"       (2000 QO252)",45.55573770000002	,2000 
"       (2000 SB331)",46.3793306490956	,2000 
